"Date","Daily minimum temperatures in Melbourne, Australia, 1981-1990"
"2010-01-01",109.9
"2010-01-02",110.6
"2010-01-03",111.8
"2010-01-04",112.4
"2010-01-05",109.7
"2010-01-06",109.4
"2010-01-07",110.0
"2010-01-08",109.1
"2010-01-09",108.5
"2010-01-10",108.1
"2010-01-11",105.8
"2010-01-12",109.4
"2010-01-13",108.4
"2010-01-14",109.6
"2010-01-15",110.3
"2010-01-16",110.4
"2010-01-17",111.6
"2010-01-18",113.6
"2010-01-19",108.8
"2010-01-20",112.7
"2010-01-21",114.4
"2010-01-22",114.1
"2010-01-23",111.1
"2010-01-24",112.2
"2010-01-25",113.0
"2010-01-26",111.9
"2010-01-27",111.3
"2010-01-28",111.9
"2010-01-29",110.4
"2010-01-30",109.4
"2010-01-31",105.5
"2010-02-01",107.3
"2010-02-02",108.5
"2010-02-03",106.7
"2010-02-04",108.2
"2010-02-05",105.5
"2010-02-06",106.3
"2010-02-07",111.2
"2010-02-08",113.7
"2010-02-09",108.3
"2010-02-10",111.2
"2010-02-11",107.1
"2010-02-12",109.0
"2010-02-13",106.1
"2010-02-14",107.1
"2010-02-15",106.8
"2010-02-16",107.6
"2010-02-17",107.7
"2010-02-18",105.8
"2010-02-19",108.9
"2010-02-20",107.1
"2010-02-21",108.3
"2010-02-22",110.6
"2010-02-23",106.9
"2010-02-24",105.3
"2010-02-25",109.8
"2010-02-26",106.9
"2010-02-27",108.5
"2010-02-28",112.1
"2010-03-01",109.1
"2010-03-02",113.4
"2010-03-03",108.1
"2010-03-04",108.1
"2010-03-05",107.2
"2010-03-06",107.8
"2010-03-07",108.3
"2010-03-08",110.1
"2010-03-09",102.7
"2010-03-10",106.3
"2010-03-11",107.0
"2010-03-12",110.2
"2010-03-13",106.8
"2010-03-14",106.4
"2010-03-15",104.8
"2010-03-16",107.9
"2010-03-17",112.2
"2010-03-18",105.7
"2010-03-19",105.1
"2010-03-20",105.3
"2010-03-21",109.3
"2010-03-22",105.3
"2010-03-23",103.1
"2010-03-24",106.1
"2010-03-25",105.4
"2010-03-26",105.2
"2010-03-27",104.4
"2010-03-28",106.3
"2010-03-29",106.6
"2010-03-30",105.6
"2010-03-31",107.0
"2010-04-01",106.2
"2010-04-02",103.5
"2010-04-03",99.3
"2010-04-04",101.8
"2010-04-05",103.2
"2010-04-06",107.3
"2010-04-07",106.4
"2010-04-08",103.1
"2010-04-09",103.8
"2010-04-10",105.9
"2010-04-11",101.6
"2010-04-12",99.9
"2010-04-13",97.8
"2010-04-14",98.9
"2010-04-15",100.3
"2010-04-16",105.4
"2010-04-17",104.3
"2010-04-18",108.6
"2010-04-19",103.8
"2010-04-20",101.4
"2010-04-21",98.9
"2010-04-22",97.3
"2010-04-23",97.5
"2010-04-24",98.6
"2010-04-25",98.5
"2010-04-26",97.9
"2010-04-27",103.0
"2010-04-28",99.1
"2010-04-29",97.9
"2010-04-30",99.1
"2010-05-01",100.3
"2010-05-02",104.7
"2010-05-03",104.7
"2010-05-04",105.3
"2010-05-05",110.8
"2010-05-06",102.7
"2010-05-07",100.6
"2010-05-08",98.5
"2010-05-09",98.5
"2010-05-10",100.8
"2010-05-11",100.1
"2010-05-12",106.6
"2010-05-13",106.1
"2010-05-14",106.6
"2010-05-15",103.5
"2010-05-16",99.7
"2010-05-17",100.6
"2010-05-18",101.0
"2010-05-19",98.9
"2010-05-20",101.7
"2010-05-21",101.4
"2010-05-22",100.7
"2010-05-23",97.9
"2010-05-24",100.0
"2010-05-25",101.4
"2010-05-26",105.4
"2010-05-27",104.1
"2010-05-28",101.2
"2010-05-29",103.3
"2010-05-30",100.2
"2010-05-31",99.4
"2010-06-01",105.9
"2010-06-02",101.6
"2010-06-03",99.9
"2010-06-04",97.8
"2010-06-05",101.6
"2010-06-06",99.9
"2010-06-07",97.8
"2010-06-08",98.9
"2010-06-09",108.6
"2010-06-10",103.8
"2010-06-11",101.4
"2010-06-12",98.9
"2010-06-13",103.8
"2010-06-14",101.4
"2010-06-15",98.9
"2010-06-16",97.3
"2010-06-17",101.4
"2010-06-18",98.9
"2010-06-19",97.3
"2010-06-20",97.5
"2010-06-21",98.9
"2010-06-22",97.3
"2010-06-23",97.5
"2010-06-24",98.6
"2010-06-25",97.3
"2010-06-26",97.5
"2010-06-27",98.6
"2010-06-28",98.5
"2010-06-29",97.5
"2010-06-30",98.6
"2010-07-01",98.5
"2010-07-02",97.9
"2010-07-03",97.9
"2010-07-04",103.0
"2010-07-05",99.1
"2010-07-06",97.9
"2010-07-07",110.8
"2010-07-08",102.7
"2010-07-09",100.6
"2010-07-10",98.5
"2010-07-11",102.7
"2010-07-12",100.6
"2010-07-13",98.5
"2010-07-14",98.5
"2010-07-15",99.7
"2010-07-16",100.6
"2010-07-17",101.0
"2010-07-18",98.9
"2010-07-19",101.7
"2010-07-20",101.4
"2010-07-21",100.7
"2010-07-22",97.9
"2010-07-23",103.3
"2010-07-24",100.2
"2010-07-25",99.4
"2010-07-26",98.7
"2010-07-27",107.8
"2010-07-28",106.5
"2010-07-29",100.1
"2010-07-30",98.3
"2010-07-31",106.5
"2010-08-01",100.1
"2010-08-02",98.3
"2010-08-03",96.9
"2010-08-04",100.1
"2010-08-05",98.3
"2010-08-06",96.9
"2010-08-07",97.4
"2010-08-08",98.3
"2010-08-09",96.9
"2010-08-10",97.4
"2010-08-11",99.0
"2010-08-12",97.4
"2010-08-13",99.0
"2010-08-14",101.1
"2010-08-15",98.3
"2010-08-16",98.3
"2010-08-17",101.1
"2010-08-18",102.0
"2010-08-19",97.7
"2010-08-20",101.9
"2010-08-21",101.6
"2010-08-22",99.7
"2010-08-23",95.0
"2010-08-24",101.6
"2010-08-25",99.7
"2010-08-26",95.0
"2010-08-27",96.3
"2010-08-28",99.7
"2010-08-29",95.0
"2010-08-30",96.3
"2010-08-31",95.3
"2010-09-01",95.0
"2010-09-02",96.3
"2010-09-03",95.3
"2010-09-04",98.3
"2010-09-05",96.3
"2010-09-06",95.3
"2010-09-07",98.3
"2010-09-08",95.0
"2010-09-09",98.3
"2010-09-10",95.0
"2010-09-11",99.2
"2010-09-12",96.7
"2010-09-13",95.0
"2010-09-14",99.2
"2010-09-15",96.7
"2010-09-16",99.0
"2010-09-17",96.7
"2010-09-18",99.0
"2010-09-19",100.4
"2010-09-20",98.4
"2010-09-21",99.0
"2010-09-22",100.4
"2010-09-23",98.4
"2010-09-24",97.1
"2010-09-25",97.1
"2010-09-26",104.2
"2010-09-27",101.7
"2010-09-28",98.6
"2010-09-29",104.2
"2010-09-30",101.7
"2010-10-01",98.6
"2010-10-02",97.1
"2010-10-03",101.7
"2010-10-04",98.6
"2010-10-05",97.1
"2010-10-06",98.8
"2010-10-07",98.6
"2010-10-08",97.1
"2010-10-09",98.8
"2010-10-10",96.8
"2010-10-11",96.8
"2010-10-12",100.9
"2010-10-13",103.8
"2010-10-14",97.8
"2010-10-15",100.9
"2010-10-16",103.8
"2010-10-17",97.8
"2010-10-18",98.9
"2010-10-19",103.8
"2010-10-20",97.8
"2010-10-21",98.9
"2010-10-22",96.9
"2010-10-23",97.8
"2010-10-24",98.9
"2010-10-25",96.9
"2010-10-26",95.5
"2010-10-27",102.3
"2010-10-28",103.1
"2010-10-29",101.2
"2010-10-30",98.6
"2010-10-31",101.2
"2010-11-01",98.6
"2010-11-02",99.8
"2010-11-03",97.5
"2010-11-04",107.4
"2010-11-05",104.1
"2010-11-06",99.4
"2010-11-07",98.2
"2010-11-08",102.3
"2010-11-09",107.2
"2010-11-10",100.9
"2010-11-11",98.6
"2010-11-12",101.1
"2010-11-13",104.9
"2010-11-14",101.9
"2010-11-15",98.1
"2010-11-16",104.9
"2010-11-17",101.9
"2010-11-18",98.1
"2010-11-19",98.9
"2010-11-20",101.1
"2010-11-21",104.7
"2010-11-22",101.1
"2010-11-23",98.8
"2010-11-24",102.3
"2010-11-25",100.2
"2010-11-26",101.6
"2010-11-27",98.7
"2010-11-28",100.2
"2010-11-29",101.6
"2010-11-30",98.7
"2010-12-01",106.3
"2010-12-02",108.3
"2010-12-03",107.5
"2010-12-04",105.5
"2010-12-05",105.9
"2010-12-06",108.1
"2010-12-07",110.1
"2010-12-08",105.8
"2010-12-09",102.9
"2010-12-10",106.3
"2010-12-11",107.9
"2010-12-12",103.6
"2010-12-13",103.4
"2010-12-14",107.6
"2010-12-15",112.1
"2010-12-16",108.7
"2010-12-17",110.5
"2010-12-18",109.5
"2010-12-19",105.0
"2010-12-20",105.5
"2010-12-21",108.3
"2010-12-22",109.8
"2010-12-23",113.8
"2010-12-24",111.5
"2010-12-25",108.6
"2010-12-26",110.4
"2010-12-27",111.0
"2010-12-28",110.7
"2010-12-29",111.5
"2010-12-30",112.1
"2010-12-31",109.2
"2011-01-01",109.3
"2011-01-02",111.8
"2011-01-03",111.9
"2011-01-04",112.3
"2011-01-05",109.9
"2011-01-06",110.7
"2011-01-07",113.3
"2011-01-08",111.1
"2011-01-09",109.2
"2011-01-10",110.0
"2011-01-11",108.9
"2011-01-12",109.0
"2011-01-13",109.8
"2011-01-14",111.4
"2011-01-15",108.8
"2011-01-16",111.6
"2011-01-17",107.2
"2011-01-18",106.5
"2011-01-19",108.8
"2011-01-20",108.5
"2011-01-21",109.0
"2011-01-22",109.8
"2011-01-23",113.8
"2011-01-24",114.7
"2011-01-25",115.0
"2011-01-26",113.7
"2011-01-27",113.1
"2011-01-28",109.2
"2011-01-29",108.8
"2011-01-30",108.4
"2011-01-31",112.4
"2011-02-01",106.5
"2011-02-02",106.1
"2011-02-03",109.4
"2011-02-04",105.6
"2011-02-05",109.7
"2011-02-06",109.8
"2011-02-07",111.3
"2011-02-08",112.4
"2011-02-09",113.1
"2011-02-10",111.4
"2011-02-11",114.9
"2011-02-12",113.2
"2011-02-13",109.9
"2011-02-14",108.1
"2011-02-15",111.4
"2011-02-16",110.2
"2011-02-17",107.3
"2011-02-18",108.4
"2011-02-19",110.9
"2011-02-20",110.6
"2011-02-21",108.8
"2011-02-22",109.8
"2011-02-23",108.9
"2011-02-24",106.9
"2011-02-25",108.4
"2011-02-26",109.8
"2011-02-27",109.1
"2011-02-28",108.8
"2011-03-01",107.9
"2011-03-02",108.1
"2011-03-03",107.8
"2011-03-04",109.2
"2011-03-05",111.6
"2011-03-06",110.6
"2011-03-07",109.0
"2011-03-08",109.3
"2011-03-09",108.8
"2011-03-10",107.5
"2011-03-11",113.2
"2011-03-12",108.6
"2011-03-13",101.2
"2011-03-14",108.8
"2011-03-15",108.7
"2011-03-16",105.9
"2011-03-17",103.6
"2011-03-18",101.7
"2011-03-19",105.2
"2011-03-20",106.7
"2011-03-21",105.9
"2011-03-22",110.3
"2011-03-23",106.4
"2011-03-24",102.7
"2011-03-25",105.9
"2011-03-26",107.5
"2011-03-27",100.9
"2011-03-28",100.3
"2011-03-29",103.0
"2011-03-30",103.8
"2011-03-31",106.3
"2011-04-01",105.8
"2011-04-02",101.2
"2011-04-03",103.1
"2011-04-04",103.5
"2011-04-05",104.7
"2011-04-06",107.1
"2011-04-07",106.4
"2011-04-08",103.4
"2011-04-09",107.8
"2011-04-10",112.2
"2011-04-11",111.5
"2011-04-12",107.9
"2011-04-13",108.6
"2011-04-14",104.9
"2011-04-15",101.4
"2011-04-16",100.4
"2011-04-17",99.6
"2011-04-18",100.2
"2011-04-19",100.9
"2011-04-20",104.8
"2011-04-21",102.3
"2011-04-22",103.1
"2011-04-23",100.4
"2011-04-24",100.0
"2011-04-25",104.3
"2011-04-26",102.4
"2011-04-27",104.1
"2011-04-28",106.9
"2011-04-29",103.6
"2011-04-30",100.6
"2011-05-01",100.7
"2011-05-02",99.5
"2011-05-03",99.1
"2011-05-04",100.9
"2011-05-05",102.2
"2011-05-06",101.1
"2011-05-07",104.7
"2011-05-08",101.1
"2011-05-09",98.8
"2011-05-10",99.4
"2011-05-11",102.0
"2011-05-12",105.5
"2011-05-13",102.3
"2011-05-14",102.0
"2011-05-15",103.2
"2011-05-16",105.5
"2011-05-17",102.7
"2011-05-18",99.7
"2011-05-19",109.1
"2011-05-20",106.6
"2011-05-21",107.1
"2011-05-22",102.3
"2011-05-23",100.2
"2011-05-24",101.6
"2011-05-25",98.7
"2011-05-26",99.0
"2011-05-27",99.3
"2011-05-28",99.1
"2011-05-29",99.4
"2011-05-30",103.9
"2011-05-31",99.5
"2011-06-01",105.9
"2011-06-02",101.6
"2011-06-03",99.9
"2011-06-04",97.8
"2011-06-05",101.6
"2011-06-06",99.9
"2011-06-07",97.8
"2011-06-08",98.9
"2011-06-09",108.6
"2011-06-10",103.8
"2011-06-11",101.4
"2011-06-12",98.9
"2011-06-13",103.8
"2011-06-14",101.4
"2011-06-15",98.9
"2011-06-16",97.3
"2011-06-17",101.4
"2011-06-18",98.9
"2011-06-19",97.3
"2011-06-20",97.5
"2011-06-21",98.9
"2011-06-22",97.3
"2011-06-23",97.5
"2011-06-24",98.6
"2011-06-25",97.3
"2011-06-26",97.5
"2011-06-27",98.6
"2011-06-28",98.5
"2011-06-29",97.5
"2011-06-30",98.6
"2011-07-01",98.5
"2011-07-02",97.9
"2011-07-03",97.9
"2011-07-04",103.0
"2011-07-05",99.1
"2011-07-06",97.9
"2011-07-07",110.8
"2011-07-08",102.7
"2011-07-09",100.6
"2011-07-10",98.5
"2011-07-11",102.7
"2011-07-12",100.6
"2011-07-13",98.5
"2011-07-14",98.5
"2011-07-15",99.7
"2011-07-16",100.6
"2011-07-17",101.0
"2011-07-18",98.9
"2011-07-19",101.7
"2011-07-20",101.4
"2011-07-21",100.7
"2011-07-22",97.9
"2011-07-23",103.3
"2011-07-24",100.2
"2011-07-25",99.4
"2011-07-26",98.7
"2011-07-27",107.8
"2011-07-28",106.5
"2011-07-29",100.1
"2011-07-30",98.3
"2011-07-31",106.5
"2011-08-01",100.1
"2011-08-02",98.3
"2011-08-03",96.9
"2011-08-04",100.1
"2011-08-05",98.3
"2011-08-06",96.9
"2011-08-07",97.4
"2011-08-08",98.3
"2011-08-09",96.9
"2011-08-10",97.4
"2011-08-11",99.0
"2011-08-12",97.4
"2011-08-13",99.0
"2011-08-14",101.1
"2011-08-15",98.3
"2011-08-16",98.3
"2011-08-17",101.1
"2011-08-18",102.0
"2011-08-19",97.7
"2011-08-20",101.9
"2011-08-21",101.6
"2011-08-22",99.7
"2011-08-23",95.0
"2011-08-24",101.6
"2011-08-25",99.7
"2011-08-26",95.0
"2011-08-27",96.3
"2011-08-28",99.7
"2011-08-29",95.0
"2011-08-30",96.3
"2011-08-31",95.3
"2011-09-01",95.0
"2011-09-02",96.3
"2011-09-03",95.3
"2011-09-04",98.3
"2011-09-05",96.3
"2011-09-06",95.3
"2011-09-07",98.3
"2011-09-08",95.0
"2011-09-09",98.3
"2011-09-10",95.0
"2011-09-11",99.2
"2011-09-12",96.7
"2011-09-13",95.0
"2011-09-14",99.2
"2011-09-15",96.7
"2011-09-16",99.0
"2011-09-17",96.7
"2011-09-18",99.0
"2011-09-19",100.4
"2011-09-20",98.4
"2011-09-21",99.0
"2011-09-22",100.4
"2011-09-23",98.4
"2011-09-24",97.1
"2011-09-25",97.1
"2011-09-26",104.2
"2011-09-27",101.7
"2011-09-28",98.6
"2011-09-29",104.2
"2011-09-30",101.7
"2011-10-01",98.6
"2011-10-02",97.1
"2011-10-03",101.7
"2011-10-04",98.6
"2011-10-05",97.1
"2011-10-06",98.8
"2011-10-07",98.6
"2011-10-08",97.1
"2011-10-09",98.8
"2011-10-10",96.8
"2011-10-11",96.8
"2011-10-12",100.9
"2011-10-13",103.8
"2011-10-14",97.8
"2011-10-15",100.9
"2011-10-16",103.8
"2011-10-17",97.8
"2011-10-18",98.9
"2011-10-19",103.8
"2011-10-20",97.8
"2011-10-21",98.9
"2011-10-22",96.9
"2011-10-23",97.8
"2011-10-24",98.9
"2011-10-25",96.9
"2011-10-26",95.5
"2011-10-27",102.3
"2011-10-28",103.1
"2011-10-29",101.2
"2011-10-30",98.6
"2011-10-31",101.2
"2011-11-01",98.6
"2011-11-02",99.8
"2011-11-03",97.5
"2011-11-04",107.4
"2011-11-05",104.1
"2011-11-06",99.4
"2011-11-07",98.2
"2011-11-08",102.3
"2011-11-09",107.2
"2011-11-10",100.9
"2011-11-11",98.6
"2011-11-12",101.1
"2011-11-13",104.9
"2011-11-14",101.9
"2011-11-15",98.1
"2011-11-16",104.9
"2011-11-17",101.9
"2011-11-18",98.1
"2011-11-19",98.9
"2011-11-20",101.1
"2011-11-21",104.7
"2011-11-22",101.1
"2011-11-23",98.8
"2011-11-24",102.3
"2011-11-25",100.2
"2011-11-26",101.6
"2011-11-27",98.7
"2011-11-28",100.2
"2011-11-29",101.6
"2011-11-30",98.7
"2011-12-01",106.7
"2011-12-02",108.3
"2011-12-03",106.9
"2011-12-04",107.7
"2011-12-05",109.2
"2011-12-06",110.1
"2011-12-07",112.4
"2011-12-08",112.2
"2011-12-09",111.2
"2011-12-10",108.6
"2011-12-11",106.8
"2011-12-12",109.4
"2011-12-13",111.6
"2011-12-14",111.2
"2011-12-15",111.4
"2011-12-16",111.2
"2011-12-17",111.5
"2011-12-18",109.4
"2011-12-19",108.6
"2011-12-20",110.6
"2011-12-21",108.5
"2011-12-22",106.1
"2011-12-23",106.2
"2011-12-24",108.2
"2011-12-25",110.2
"2011-12-26",110.6
"2011-12-27",110.9
"2011-12-28",112.2
"2011-12-29",109.6
"2011-12-30",111.4
"2011-12-31",112.7
"2012-01-01",113.6
"2012-01-02",111.7
"2012-01-03",113.4
"2012-01-04",113.7
"2012-01-05",112.9
"2012-01-06",112.4
"2012-01-07",115.3
"2012-01-08",112.7
"2012-01-09",110.8
"2012-01-10",109.7
"2012-01-11",108.7
"2012-01-12",111.7
"2012-01-13",112.2
"2012-01-14",112.1
"2012-01-15",111.2
"2012-01-16",109.3
"2012-01-17",109.3
"2012-01-18",111.3
"2012-01-19",110.5
"2012-01-20",110.3
"2012-01-21",108.1
"2012-01-22",111.4
"2012-01-23",109.0
"2012-01-24",108.2
"2012-01-25",109.1
"2012-01-26",109.5
"2012-01-27",108.1
"2012-01-28",109.0
"2012-01-29",108.7
"2012-01-30",109.3
"2012-01-31",111.3
"2012-02-01",107.1
"2012-02-02",107.8
"2012-02-03",106.3
"2012-02-04",109.5
"2012-02-05",107.8
"2012-02-06",108.4
"2012-02-07",108.0
"2012-02-08",107.7
"2012-02-09",109.5
"2012-02-10",110.6
"2012-02-11",112.2
"2012-02-12",115.2
"2012-02-13",113.2
"2012-02-14",113.4
"2012-02-15",111.7
"2012-02-16",111.7
"2012-02-17",113.7
"2012-02-18",112.3
"2012-02-19",108.9
"2012-02-20",106.7
"2012-02-21",107.6
"2012-02-22",114.5
"2012-02-23",108.2
"2012-02-24",109.4
"2012-02-25",113.0
"2012-02-26",110.1
"2012-02-27",108.4
"2012-02-28",111.7
"2012-02-29",108.4
"2012-03-01",104.9
"2012-03-02",107.5
"2012-03-03",114.0
"2012-03-04",110.0
"2012-03-05",115.0
"2012-03-06",109.4
"2012-03-07",107.7
"2012-03-08",109.2
"2012-03-09",108.9
"2012-03-10",111.6
"2012-03-11",108.7
"2012-03-12",107.7
"2012-03-13",106.6
"2012-03-14",106.3
"2012-03-15",108.9
"2012-03-16",110.6
"2012-03-17",111.1
"2012-03-18",108.3
"2012-03-19",108.8
"2012-03-20",108.3
"2012-03-21",108.1
"2012-03-22",107.4
"2012-03-23",104.8
"2012-03-24",105.4
"2012-03-25",104.0
"2012-03-26",102.2
"2012-03-27",103.2
"2012-03-28",103.9
"2012-03-29",105.5
"2012-03-30",105.8
"2012-03-31",106.4
"2012-04-01",105.3
"2012-04-02",103.9
"2012-04-03",105.4
"2012-04-04",108.1
"2012-04-05",104.8
"2012-04-06",103.0
"2012-04-07",105.6
"2012-04-08",112.1
"2012-04-09",105.8
"2012-04-10",103.8
"2012-04-11",104.3
"2012-04-12",106.2
"2012-04-13",107.5
"2012-04-14",105.1
"2012-04-15",106.0
"2012-04-16",102.7
"2012-04-17",99.6
"2012-04-18",100.0
"2012-04-19",99.4
"2012-04-20",99.6
"2012-04-21",100.1
"2012-04-22",101.3
"2012-04-23",104.0
"2012-04-24",106.9
"2012-04-25",101.4
"2012-04-26",106.7
"2012-04-27",107.7
"2012-04-28",102.1
"2012-04-29",99.8
"2012-04-30",100.1
"2012-05-01",102.5
"2012-05-02",103.6
"2012-05-03",102.3
"2012-05-04",102.4
"2012-05-05",104.7
"2012-05-06",107.3
"2012-05-07",107.3
"2012-05-08",103.1
"2012-05-09",101.3
"2012-05-10",100.1
"2012-05-11",105.3
"2012-05-12",102.2
"2012-05-13",103.5
"2012-05-14",101.1
"2012-05-15",101.9
"2012-05-16",109.0
"2012-05-17",103.3
"2012-05-18",98.4
"2012-05-19",98.7
"2012-05-20",103.0
"2012-05-21",104.6
"2012-05-22",101.5
"2012-05-23",99.5
"2012-05-24",99.6
"2012-05-25",106.1
"2012-05-26",111.0
"2012-05-27",112.9
"2012-05-28",114.1
"2012-05-29",109.7
"2012-05-30",105.7
"2012-05-31",106.2
"2012-06-01",105.9
"2012-06-02",101.6
"2012-06-03",99.9
"2012-06-04",97.8
"2012-06-05",101.6
"2012-06-06",99.9
"2012-06-07",97.8
"2012-06-08",98.9
"2012-06-09",108.6
"2012-06-10",103.8
"2012-06-11",101.4
"2012-06-12",98.9
"2012-06-13",103.8
"2012-06-14",101.4
"2012-06-15",98.9
"2012-06-16",97.3
"2012-06-17",101.4
"2012-06-18",98.9
"2012-06-19",97.3
"2012-06-20",97.5
"2012-06-21",98.9
"2012-06-22",97.3
"2012-06-23",97.5
"2012-06-24",98.6
"2012-06-25",97.3
"2012-06-26",97.5
"2012-06-27",98.6
"2012-06-28",98.5
"2012-06-29",97.5
"2012-06-30",98.6
"2012-07-01",98.5
"2012-07-02",97.9
"2012-07-03",97.9
"2012-07-04",103.0
"2012-07-05",99.1
"2012-07-06",97.9
"2012-07-07",110.8
"2012-07-08",102.7
"2012-07-09",100.6
"2012-07-10",98.5
"2012-07-11",102.7
"2012-07-12",100.6
"2012-07-13",98.5
"2012-07-14",98.5
"2012-07-15",99.7
"2012-07-16",100.6
"2012-07-17",101.0
"2012-07-18",98.9
"2012-07-19",101.7
"2012-07-20",101.4
"2012-07-21",100.7
"2012-07-22",97.9
"2012-07-23",103.3
"2012-07-24",100.2
"2012-07-25",99.4
"2012-07-26",98.7
"2012-07-27",107.8
"2012-07-28",106.5
"2012-07-29",100.1
"2012-07-30",98.3
"2012-07-31",106.5
"2012-08-01",100.1
"2012-08-02",98.3
"2012-08-03",96.9
"2012-08-04",100.1
"2012-08-05",98.3
"2012-08-06",96.9
"2012-08-07",97.4
"2012-08-08",98.3
"2012-08-09",96.9
"2012-08-10",97.4
"2012-08-11",99.0
"2012-08-12",97.4
"2012-08-13",99.0
"2012-08-14",101.1
"2012-08-15",98.3
"2012-08-16",98.3
"2012-08-17",101.1
"2012-08-18",102.0
"2012-08-19",97.7
"2012-08-20",101.9
"2012-08-21",101.6
"2012-08-22",99.7
"2012-08-23",95.0
"2012-08-24",101.6
"2012-08-25",99.7
"2012-08-26",95.0
"2012-08-27",96.3
"2012-08-28",99.7
"2012-08-29",95.0
"2012-08-30",96.3
"2012-08-31",95.3
"2012-09-01",95.0
"2012-09-02",96.3
"2012-09-03",95.3
"2012-09-04",98.3
"2012-09-05",96.3
"2012-09-06",95.3
"2012-09-07",98.3
"2012-09-08",95.0
"2012-09-09",98.3
"2012-09-10",95.0
"2012-09-11",99.2
"2012-09-12",96.7
"2012-09-13",95.0
"2012-09-14",99.2
"2012-09-15",96.7
"2012-09-16",99.0
"2012-09-17",96.7
"2012-09-18",99.0
"2012-09-19",100.4
"2012-09-20",98.4
"2012-09-21",99.0
"2012-09-22",100.4
"2012-09-23",98.4
"2012-09-24",97.1
"2012-09-25",97.1
"2012-09-26",104.2
"2012-09-27",101.7
"2012-09-28",98.6
"2012-09-29",104.2
"2012-09-30",101.7
"2012-10-01",98.6
"2012-10-02",97.1
"2012-10-03",101.7
"2012-10-04",98.6
"2012-10-05",97.1
"2012-10-06",98.8
"2012-10-07",98.6
"2012-10-08",97.1
"2012-10-09",98.8
"2012-10-10",96.8
"2012-10-11",96.8
"2012-10-12",100.9
"2012-10-13",103.8
"2012-10-14",97.8
"2012-10-15",100.9
"2012-10-16",103.8
"2012-10-17",97.8
"2012-10-18",98.9
"2012-10-19",103.8
"2012-10-20",97.8
"2012-10-21",98.9
"2012-10-22",96.9
"2012-10-23",97.8
"2012-10-24",98.9
"2012-10-25",96.9
